model,rmse,mae,r2,mape,train_time
RandomForest,1.3783800563318723e-05,7.633836822419335e-06,0.9999951696941856,0.06632352683270655,469.7786829471588
LightGBM,3.4242021275246364e-05,4.117853815292245e-06,0.9999701904478333,0.15196170923897837,41.60914659500122
CatBoost,4.313122484360308e-05,1.0415133808832368e-05,0.999952704453406,0.78913471823384,77.64437675476074
XGBoost,5.671439523243091e-05,1.9202322489600505e-05,0.999918224487074,2.7828076119897474,65.59732437133789
